NAME,EPOCH,CALIBRATOR,RA,RA_ERR,DEC,DEC_ERR,MODE
HD 179094,2020.6479178644763,J1910+5151,287.1064976,2.101576217338817,52.42542127,0.32665375719352896,PR
HD 179094,2020.8308528405205,J1910+5151,287.1064862,2.1005689604271143,52.42541426,0.3127340938467692,PR
HD 179094,2021.1857713894592,J1910+5151,287.1064833,2.1022576191543476,52.42540891,0.3292059119001769,PR
HD 179094,2021.439780971937,J1910+5151,287.1064678,2.10023223480756,52.42540999,0.3101259159868129,PR
HD 179094,2021.603471594798,J1910+5151,287.1064538,2.1011299416748255,52.42540729,0.3165866020095301,PR
